unified_id,month,zipcode,city,host_type,bedrooms,bathrooms,guests,revenue,openness,occupancy,nightly_rate,lead_time,length_stay
AIR1096822,2019-12,92284,Yucca Valley,Single Owners,3,3,8,2300.0,31,0.258064516,287.5,22.0,1.8
AIR1096822,2019-3,92284,Yucca Valley,Single Owners,3,3,8,4364.439911,31,0.483870968,290.9626607,15.42857143,2.142857143
AIR1096822,2019-4,92284,Yucca Valley,Single Owners,3,3,8,4073.509949,30,0.466666667,290.9649963,51.8,2.8
AIR1096822,2019-5,92284,Yucca Valley,Single Owners,3,3,8,1699.839966,31,0.129032258,424.9599915,1.0,4.0
AIR1096822,2019-6,92284,Yucca Valley,Single Owners,3,3,8,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR1096822,2019-8,92284,Yucca Valley,Single Owners,3,3,8,0.0,31,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR1096822,2019-9,92284,Yucca Valley,Single Owners,3,3,8,0.0,30,0.0,327.04738032354703,30.968203896761153,4.749502715945883
AIR11098028,2019-1,92315,Big Bear Lake,Professionals,3,2,8,1671.839966,10,0.8,208.9799957,15.14285714,1.142857143
AIR11098028,2019-10,92315,Big Bear Lake,Professionals,3,2,8,3005.71994,27,0.518518519,214.6942814,50.55555556,1.444444444
AIR11098028,2019-12,92315,Big Bear Lake,Professionals,3,2,8,836.0,12,0.333333333,209.0,4.666666667,1.333333333
AIR11098028,2019-2,92315,Big Bear Lake,Professionals,3,2,8,835.9199829,6,0.666666667,208.9799957,20.0,1.0
AIR11098028,2019-3,92315,Big Bear Lake,Professionals,3,2,8,2481.749969,19,0.578947368,225.6136336,29.66666667,1.222222222
AIR11098028,2019-5,92315,Big Bear Lake,Professionals,3,2,8,1353.879974,26,0.230769231,225.6466624,31.0,1.2
AIR11098028,2019-6,92315,Big Bear Lake,Professionals,3,2,8,3383.679932,18,0.888888889,211.4799957,12.625,2.0
AIR11098028,2019-7,92315,Big Bear Lake,Professionals,3,2,8,2109.799957,11,0.909090909,210.9799957,53.625,1.25
AIR11098028,2019-9,92315,Big Bear Lake,Professionals,3,2,8,2607.759949,26,0.461538462,217.3133291,28.4,1.3
AIR11098161,2019-1,92315,Big Bear Lake,Professionals,3,2,8,1671.839966,10,0.8,208.9799957,15.14285714,1.142857143
AIR11098161,2019-10,92315,Big Bear Lake,Professionals,3,2,8,3005.71994,27,0.518518519,214.6942814,50.66666667,1.444444444
AIR11098161,2019-12,92315,Big Bear Lake,Professionals,3,2,8,836.0,12,0.333333333,209.0,4.666666667,1.333333333
AIR11098161,2019-2,92315,Big Bear Lake,Professionals,3,2,8,835.9199829,6,0.666666667,208.9799957,20.0,1.0
AIR11098161,2019-3,92315,Big Bear Lake,Professionals,3,2,8,2481.749969,19,0.578947368,225.6136336,29.55555556,1.222222222
